gid,pid,detail,off,def,type,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,dot,ptck1,ptck2,sk1,sk2,ptm,pen,desc,pey,act,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,td,td_type,epa,dpbk,stunt,db_count
7019,1153342,8-A.Borregales kicks 63 yards from NE 35 to SEA 2. 22-R.Shaheed to SEA 24 for 22 yards (48-N.Obiazor).,SEA,NE,KOFF,5,1,15,0,0,0,3,3,0,0,65,4,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0040200,63,41,0,00-0037545,22,0,,-0.297,,0,
7019,1153343,(14:55) 8-J.Price right tackle to SEA 37 for 13 yards (31-K.Byard; 91-E.Ponder).,SEA,NE,RUSH,38,1,14,55,0,0,3,3,1,10,24,2,13,1,1,0,0,0,00-0041512,0,RT,00-0033132,00-0040574,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,1.112,,0,5
7019,1153344,(14:17) 14-S.Darnold pass short middle to 11-J.Smith-Njigba to 50 for 13 yards (14-R.Spillane).,SEA,NE,PASS,45,1,14,17,0,0,3,3,1,10,37,2,13,1,1,0,0,0,,0,,,,00-0034869,1,0,SM,00-0038543,,11,00-0034720,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.825,00-0034869,0,5
7019,1153345,"(13:32) PENALTY on SEA-81-E.Saubert, False Start, 5 yards, enforced at 50 - No Play.",SEA,NE,NOPL,23,1,13,32,0,0,3,3,1,10,50,3,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,SEA,00-0033576,False Start,-5,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.556,,0,
7019,1153346,(13:09) (Shotgun) 36-G.Holani up the middle to NE 46 for 9 yards (94-C.Durden; 14-R.Spillane).,SEA,NE,RUSH,39,1,13,9,0,0,3,3,1,15,45,3,9,1,0,1,0,0,00-0039299,0,RM,00-0038653,00-0034720,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.277,,0,5
7019,1153347,(12:30) (Shotgun) 14-S.Darnold pass incomplete short right to 22-R.Shaheed.,SEA,NE,PASS,3,1,12,30,0,0,3,3,2,6,54,3,0,0,0,1,0,0,,0,,,,00-0034869,0,0,SR,00-0037545,,4,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.85,00-0034869,0,5
7019,1153348,(12:27) (Shotgun) 14-S.Darnold sacked at SEA 49 for -5 yards (5-D.Jones). SEA-14-S.Darnold was injured during the play.,SEA,NE,PASS,38,1,12,27,0,0,3,3,3,6,54,3,-5,0,0,1,0,0,,0,,,,,0,0,,,,,,,00-0035678,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-2.052,00-0034869,0,5
7019,1153349,"(11:49) 4-M.Dickson punts 43 yards to NE 8, Center-41-C.Stoll, fair catch by 25-M.Jones.",SEA,NE,PUNT,7,1,11,49,0,0,3,3,4,11,49,3,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,00-0034160,43,43,0,00-0037253,0,1,,,,0,,,0,,0.478,,0,
7019,1153350,(11:42) 38-R.Stevenson up the middle to NE 11 for 3 yards (0-D.Lawrence; 32-D.Thomas).,NE,SEA,RUSH,35,1,11,42,0,0,3,3,1,10,8,1,3,0,0,0,0,0,00-0036875,0,RM,00-0031411,00-0038922,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.198,,0,4
7019,1153351,(11:07) 10-D.Maye scrambles up the middle to NE 21 for 10 yards (13-E.Jones; 21-D.Witherspoon).,NE,SEA,RUSH,41,1,11,7,0,0,3,3,2,7,11,1,10,1,1,0,0,0,00-0039851,0,RM,00-0036994,00-0039169,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,1.063,00-0039851,0,5
7019,1153352,(10:26) (Shotgun) 38-R.Stevenson left end pushed ob at NE 23 for 2 yards (20-J.Love).,NE,SEA,RUSH,33,1,10,26,0,0,3,3,1,10,21,2,2,0,0,1,0,0,00-0036875,0,LE,00-0034974,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.494,,0,4
7019,1153353,(9:53) 38-R.Stevenson up the middle to NE 26 for 3 yards (28-N.Pritchett).,NE,SEA,RUSH,39,1,9,53,0,0,3,3,2,8,23,2,3,0,0,0,0,0,00-0036875,0,RM,00-0039795,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.174,,0,5
