gid,pid,detail,off,def,type,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,dot,ptck1,ptck2,sk1,sk2,ptm,pen,desc,pey,act,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,td,td_type,epa
6449,1057995,"7-H.Butker kicks 65 yards from KC 35 to end zone, Touchback to the BLT 30.",BLT,KC,KOFF,0,1,15,0,0,0,3,3,0,0,65,4,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0033303,65,65,1,,0,0,,NA
6449,1057996,(15:00) (Shotgun) 22-D.Henry left end to BLT 32 for 2 yards (35-Ja.Watson).,BLT,KC,RUSH,41,1,15,0,0,0,3,3,1,10,30,2,2,0,0,1,0,0,00-0032764,0,LE,00-0037195,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1057997,"(14:19) (Shotgun) 8-L.Jackson pass short right to 4-Z.Flowers to BLT 34 for 2 yards (23-D.Tranquill).PENALTY on BLT-79-R.Stanley, Illegal Formation, 5 yards, enforced at BLT 32 - No Play.",BLT,KC,NOPL,24,1,14,19,0,0,3,3,2,8,32,2,0,0,0,1,0,0,,0,,,,00-0034796,0,0,,,,0,,,,,BLT,00-0032965,Illegal Formation,-5,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1057998,(13:55) (Shotgun) 8-L.Jackson pass short right to 43-J.Hill pushed ob at BLT 29 for 2 yards (27-C.Conner).,BLT,KC,PASS,35,1,13,55,0,0,3,3,2,13,27,2,2,0,0,1,0,0,,0,,,,00-0034796,1,0,SR,00-0034975,,-4,00-0038982,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1057999,(13:20) (Shotgun) 8-L.Jackson pass short right to 43-J.Hill ran ob at BLT 47 for 18 yards (35-Ja.Watson).,BLT,KC,PASS,37,1,13,20,0,0,3,3,3,11,29,2,18,1,1,1,0,0,,0,,,,00-0034796,1,0,SR,00-0034975,,1,00-0037195,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058000,(12:43) 22-D.Henry up the middle to BLT 48 for 1 yard (95-C.Jones; 69-M.Pennel).,BLT,KC,RUSH,43,1,12,43,0,0,3,3,1,10,47,3,1,0,0,0,0,0,00-0032764,0,RM,00-0032762,00-0030757,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058001,"(12:00) (Shotgun) 8-L.Jackson pass incomplete short left to 22-D.Henry (54-L.Chenal).Penalty on BLT-65-P.Mekari, Illegal Formation, declined.",BLT,KC,PASS,5,1,12,0,0,0,3,3,2,9,48,3,0,0,0,1,0,0,,0,,,,00-0034796,0,0,SL,00-0032764,00-0037819,-6,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058002,"(11:55) (Shotgun) 8-L.Jackson pass incomplete deep right to 4-Z.Flowers.Penalty on BLT-79-R.Stanley, Illegal Formation, offsetting, enforced at BLT 48 - No Play.Penalty on KC-35-Ja.Watson, Defensive Pass Interference, offsetting.",BLT,KC,NOPL,6,1,11,55,0,0,3,3,3,9,48,3,0,1,0,1,0,0,,0,,,,00-0034796,0,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058003,(11:49) (Shotgun) 8-L.Jackson pass deep middle to 4-Z.Flowers to KC 33 for 19 yards (22-T.McDuffie).,BLT,KC,PASS,44,1,11,49,0,0,3,3,3,9,48,3,19,1,1,1,0,0,,0,,,,00-0034796,1,0,DM,00-0039064,,18,00-0037191,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
6449,1058004,(11:05) (Shotgun) 22-D.Henry right end to KC 27 for 6 yards (20-J.Reid).,BLT,KC,RUSH,39,1,11,5,0,0,3,3,1,10,67,4,6,1,0,1,0,0,00-0032764,0,RE,00-0034361,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,NA
